COMMODITY,COMMODITY_DESCRIPTION,EXTENDED_DESCRIPTION,CONTRACT_NAME
17503100001,APRON CHEMICAL RESISTANT HYCAR 35 X 45 IN,RC LN___ QTY DEL____ P/F____ B/O____ DEL DATE_______,material needed at awgbsc
20027118005,GLOVES WK LEATHER ADJ BALL/TAPE FASTENER SMALL,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 6/1/2018,Grainger material for AWWBSC
20142770003,GLOVES WORK MECHANIC SYNTHETIC LEATHER SZ XLARGE,RC LN_______QTY DEL______P/F_____B/O_____DEL DATE_________,material needed at awwbsc
20147201010,RANGER HAT WIDE BRIM XLARGE KAKI,RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________    DELIVERY DATE SHALL BE NO LATER THAN  6/14/2019,MSC material for AWWBSC
20142770030,Glove Utility Fast Fit Size Medium,RC LN____QTY DEL____P/F____B/O____DEL DATE_______,material needed at awgbsc
20027118003,GLOVES WORK LEATHER RUBBERIZED GAUNLET CUFF LARGE,RC LN_____QTY DEL_____P/F___B/O___DEL DATE_______,material needed at awgbsc
20027301004,GLOVES DRIVER WORK LEATHER W/ADJ BALL/TAPE FASTENER XLARGE,,Leather gloves
20142770003,GLOVES WORK MECHANIC SYNTHETIC LEATHER SZ XLARGE,RC LN_______QTY DEL_______P/F_____B/O_____DEL DATE_________,material needed at wbsc
3778,"Souvenirs: Promotional, Advertising, etc.","Polyester Lanyard with Vinyl Imprint Panel 3/4"" Wide: detachable hook, safety breakaway release at the back of the neck  Navy Blue with White lettering ""Leave More Space For Trucks/Austin Police Department/TACT Program. 2.5"" w x 0.375""H  EPromos #8829481 (sample attached)",Promotional Items/Highway Enforcement
20142770021,GLOVES MECHANIC SPANDEX LEATHER PALM GEL&PAD PVC KNUCKLE LRG,RC LN___QTY DEL___ P/F___ B/O___ DEL DATE_____,MATERIAL NEEDED AT AWGBSC
17503100001,APRON CHEMICAL RESISTANT HYCAR 35 X 45 IN,RC LN____ QTY DEL____ P/F____ B/O____ DEL DATE___________,material needed at awgbsc
20027118007,GLOVES WK LEATHER ADJ BALL/TAPE FASTENER XL,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Webberville Grainger items
20027118007,GLOVES WK LEATHER ADJ BALL/TAPE FASTENER XL,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Material needed at awwbsc
20027118004,GLOVES WK LEATHER ADJ BALL/TAPE FASTENER LRG,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 8/16/2018,Grainger material for AWGBSC
20003,CLOTHING: ATHLETIC / CASUAL / DRESS / UNIFORM / WTHR / WORK,Master Agreement for PARD for various sizes & style of t-shirt and  caps  T-Shirts for 2012 Spring Soccer League at Gus Garcia Rec. Ctr.  Gildan #5000B Youth cotton Tee Various Colors (Players)  48 ea @ $4.87 ea.  Gildan #5000 Adult Cotton Tee Various Colors  27 ea. @ $5.09 ea.  Gildan #5000 Adult Cotton Tee Various Colors (Coaches)  12 ea. @ $5.28 ea.,T-Shirts for Soccer at Gus Garcia Rec Ctr
20027118007,GLOVES WK LEATHER ADJ BALL/TAPE FASTENER XL,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____,Grainger material for AWGBSC
20142770002,GLOVES WORK MECHANIC SYNTHETIC LEATHER SZ LARGE,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 4/19/2018,MSC material for Glen Bell warehouse
20027118001,GLOVES WORK LEATHER RUBBERIZED GAUNLET CUFF XLARGE,RC LN_______QTY DEL______P/F_____B/O_____DEL DATE________,material needed at wbsc
20147201006,RANGER HAT WIDE BRIM LARGE NAVY,RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________    DELIVERY DATE SHALL BE NO LATER THAN  9/19/2019,Grainger material for AWWBSC
20027118005,GLOVES WK LEATHER ADJ BALL/TAPE FASTENER SMALL,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Grainger keep stock order for Webberville warehouse
20003,CLOTHING: ATHLETIC / CASUAL / DRESS / UNIFORM / WTHR / WORK,Master Agreement for PARD for various sizes & style of t-shirt and  caps    10 ea. T-shirts @ $5.06 ea.  30 ea. T-Shirts @ $5.28 ea.  40 ea. T-Shirts @ $5.06 ea.  10 ea. T-Shirts @ $5.28 ea.  Quote #6058  Quote Date: 06/28/13  Salesperson: Kyle Shaw  PARD Contact Person: Milly Hernandez @512-478-8716,T-shirts
20027118004,GLOVES WK LEATHER ADJ BALL/TAPE FASTENER LRG,RC LN_______QTY DEL______P/F_____B/O_____DEL DATE__________,material needed at awgbsc
20147201009,RANGER HAT WIDE BRIM LARGE KAKI,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE________,Grainger keep stock order for Glen Bell warehouse
34548400003,GLOVES SAFETY INSULATED SZ XLARGE,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE__________,material needed at Gbsc
2000910,Belts Uniform,4 EXTRA LARGE 5.11 TACTICAL BELT #59405-019,5.11 TACTICAL BELT #59405-019
20012102008,CAP PATROLMAN  7 3/8-7 1/2 IN LARGE,,cadet class 120
20021100003,PATCH POLICE DEPT SHOULDER NAVY AND GRAY,Replaces GA070000062,Patches STOCK
20142770003,GLOVES WORK MECHANIC SYNTHETIC LEATHER SZ XLARGE,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 7/26/2018,MSC material for AWWBSC
20003100002,TIE UNIFORM 18 inch,,"Ties for apd and afd cadet 121, 114"
20142770031,Glove Utility Fast Fit Size Large,RC LN___ QTY DEL___ P/F___ B/O_____ DEL DATE________,material needed at awbsc
2002711,GLOVES,4KWZ8    RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE___________,"material needed at webberville   safety samples, new product"
20003,CLOTHING: ATHLETIC / CASUAL / DRESS / UNIFORM / WTHR / WORK,Master Agreement for PARD for various sizes & style of t-shirt and  caps    100 ea. T-Shirts @ $5.28 ea.  13 ea. T-shirts @ $6.14 ea.  Quote #4904  Quote Date: 02/28/13  Salesperson: Kyle Shaw  PARD Contact: Milly Hernandez @ 512-478-8716,T-shirts for Staff at Metz
34548400002,GLOVES SAFETY INSULATED SZ LARGE,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE________,material needed at awgbsc
20012100006,CAP BASEBALL GRAY SPECIAL,GRAY MESH CAPS WITH COA,Baseball Caps B/O
20027118006,GLOVES WK LEATHER ADJ BALL/TAPE FASTENER MED.,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE___________,material needed at gbsc
20142770021,GLOVES MECHANIC SPANDEX LEATHER PALM GEL&PAD PVC KNUCKLE LRG,RC LN______QTY DEL______P/F____B/O____DEL DATE_________,material needed at awwbsc
2076785,"UNINTERRUPTIBLE POWER SUPPLY, COMPUTER",,usp tower unit
2859032,"PROTECTORS, SURGE",,Surge Suppressors/Luethan Ln/Barrios
20767,"Power Supplies: Surge Protectors, Uninterruptible",Five (5) Liebert GXT4-48VBATT - Battery Enclosures  SKU: A8173318  Quote #: 3000011348530.1  DIR-SDD-1951  REQ0030764; RITM0070893  Requestor: Sara Saathoff/Ray Molina,Liebert UPS Units and Intellislot Web Cards
28595505001,CORD EXT W/MOULDED PLUG 3/C  NO.14 50 FT,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 2/28/2018,Grainger material for Glen Bell warehouse
20767,"Power Supplies: Surge Protectors, Uninterruptible","Requester: Marco Espericueta     10 ea Full Desktop Cradel  as per quote #Q-142329 all terms and conditions governed by DIR TSO-2520  Debora Anderson, Buyer I",Toughbook and crades adpators
20464,"Network Components: Adapter Cards, Bridges, Connec",17345-SU6000RT4UTF Smart Online 6kVA On-Line Double Conversion UPS    DIR-SDD-1460,"17345- Charles York- Network comp,cards, connectors"
2875555,POWER SUPPLY (MISC.),p/n # EDI-PS216EP-24    24v Rack Mount Power Supply (Hc)    BuyBoard - Texas Highway Products,Power Supplies for 336 Cabinets
20464,"Network Components: Adapter Cards, Bridges, Connec",APC SMART-UPS 980W/1440VA 120VIN/OUTPUT INTERFACE PORT DB-9 RS-232 LCD BLACK   26900 - Contract #: DIR TSO 2651 - Quote #: Q000BXT4,Alerting Equipment
72582,"Two-Way Radio Supplies, Parts, and Accessories","335700  Power Inverter,1500W/GFCI","TESSCO $2,130.19SEE ATTACHED"
20464,"Network Components: Adapter Cards, Bridges, Connec",Tripp Lite 2-Post Rackmount / Wallmount  Installation Kit for select Rackmount UPS  Systems - rack mounting kit  2POSTRMKITWM  28850 - Quote #220314520 - Contract #DIR-TSO-2675,Components
20767,"Power Supplies: Surge Protectors, Uninterruptible",AL-R615DC616ULC 16 PORT POWER SUPPLY (POWER SUPPL,iRecord Vi Professional Interview Recording System
55940,Electrical Accessories and Parts (Not Lighting),2 EA DOOR STOP STRAP P#2686690 @ $19.59 = $39.18,#522/17V108 POLARIS GEMS CART
72582,"Two-Way Radio Supplies, Parts, and Accessories",Motorola WPLN4111AR  smart cherger,Motorola $1960.00  see attached
72582,"Two-Way Radio Supplies, Parts, and Accessories","PMPN4174A  CHGR DESKTOP SINGLE  UNIT IMPRES, US/NA","Motorola WO655772 $4,034.12"
20464,"Network Components: Adapter Cards, Bridges, Connec","PR0010449-  APC Smart-UPS SRT 1500VA RM Network Card -  UPS - 1.35 kW - 1500 VA  Mfr List: 2,535.00/EA Disc off list: 47%  STATE OF TEXAS DIR-DATA STORAGE, COMM, NTWRK EQUIP &  SVS(# DIR-TSO-4343)",APC Smart-UPS SRT 1500VA RM Network Card-CTM
20767,"Power Supplies: Surge Protectors, Uninterruptible",Havis docking power supply for CF-31 & DS-PAN-110  DIR-SDD-1934,"#17182-Hardware & Accessories for 1999-2013 FordF250, F550"
2803093,"WIRE, EXTENSION CORD",,WAREHOUSE INVENTORY RESTOCK
28590,"Voltage Line Thermostats, Inverters, Converters, S",SURGE PROTECTOR,SURGE PROTECTOR - 120 VRMS -INOVATIVE TECH
2875555,POWER SUPPLY (MISC.),6001023: Sierra Wireless AirLink AC Adaptor -  12 VDC - 10' - MG90,"GTS WO618278 $1,891.41"
72582,"Two-Way Radio Supplies, Parts, and Accessories","CHARGER, SINGLE-UNIT, IMPRES, 1.25A, 115VAC, US/NA","MOTOROLA RADIOS FOR DAVIS WTP  $19,496.04 SEE ATTACHED"
2076785,"UNINTERRUPTIBLE POWER SUPPLY, COMPUTER",GEIST Watchdog 1200 Environmental Monitoring System  Part #: G1604P  20 Units @ $424.15/Unit  DIR-TSO-3453  REQ0027987  RITM0053203,GEIST Watchdog 1200 Environmental Monitoring System
20767,"Power Supplies: Surge Protectors, Uninterruptible",,HW-REL-GTX BATTERIES-FREDDY AGUIRRE
20367,"Power Supplies: Surge Protectors, Uninterruptible, ECO Certi","PR0011052  Smart-UPS Line Inter.750VA (6) 5-15R, 120V, NET MGMT Card2U, 15-15P-8ft. #SMT750RM2UNC",Uninterruptible Power Supplies (UPS) for ABIA
20367,"Power Supplies: Surge Protectors, Uninterruptible, ECO Certi","372797     AMER PWR   AP7931  RACK PDU, SWITCHED, ZERO U  15A, 100/120V, (16) 5-15          ROHS",#16480-Power Control Equipment
20367,"Power Supplies: Surge Protectors, Uninterruptible, ECO Certi",NWRC Transceivers,1087866-Le Equivel-  NWRC Transceivers
20367,"Power Supplies: Surge Protectors, Uninterruptible, ECO Certi",CTECC 1041772  Install UPS @ EMS HQ 2nd fl north IDF (Tripp),CTECC 1041772  Install UPS @ EMS HQ 2nd fl north IDF (Tripp)
72582,"Two-Way Radio Supplies, Parts, and Accessories","POWER SUPPLY ADAPTOR,POWER- WALL CUBE,AC,POWER SUPPLY, SWITCH-MODE , LOW NOISE, 18W, US/NA",Motorola DO - Single Unit Charger Cords (50)
3455636,"HELMETS, SAFETY, FIREFIGHTER, INCLUDING ACCESSORIE",orginal order placed on DO 830012013107369 this the last partial that will complete that order .    Qty 5 white ff helmets,qty 5 helmets
34564100001,SHIELD FACE 8 X 12 IN CLEAR VISOR WITH HEAD GEAR,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Weekly Webberville Keep Stock scan
47599,"MEDICAL, DENTAL AND LAB SUPPLY PER PRICE AGREEMENT",Refugee Health Screening Phlebotomy Hydraulic Chairs Item #570478,2ea-Phlebotomy Hydraulic Chairs
3455640,"HELMETS, SAFETY, POLICE TYPE","Avon Ceradyne N49 ULW w/Team Wendy CAM Fit Dial (Boltless) & Epic Air Pads w/Rails, High-Cut, NVG Mount, Velcro Set, & Bungee Hook - LARGE, Green",Armor Helmet - N49-H
34580190005,"ADAPTER CARTRIDGE RESPIRATOR, SCOTT# 805622-01",RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________    DELIVERY DATE SHALL BE NO LATER THAN  5/21/2019,Grainger material for AWWBSC
34556330002,25F547 HARD HAT VISOR FR TREATED HIGH VIZ YELLOW,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 6/14/2018,MSC QIA material for AWGBSC
34564,"Head, Ear, Eye and Face Protection",Safety Glasses for Gilbert Briones at GBSC,safety eyewear....lunar
47509452015,Multi-Trauma Dressing Gam Industries #3050 .   12in. X 30 in,"B015  Multi-Trauma Dressing. 12"" x 30""  DUKAL  Item Number 3050",medical Supplies
47541481001,GLOVES DISPOSABLE NONSTERILE NITRILE SMALL,"""Gloves, disposable nitrile, non-sterile  Per Specification No. EMS-GLV-002  IHC NEP4 NitriDerm? Nitrile Synthetic or Buyer Approved Equal.    Quantity per box: ________, Boxes per case:________.    Available sizes: ___________________________________    Mfg. & Model No.""",Nitrile exam cloves
47509132018,STAT STRIP? Adhesive Bandages  American White Cross # 15215.,"item # 92643 stat strip flex fav 3/4""",medical supplies
34564300001,EAR PLUG DISPOSABLE,RC LN_____ QTY DEL____ P/F____ B/O_____ DEL DATE_____,Materials needed for Glen Bell warehouse
34564,"Head, Ear, Eye and Face Protection","Public Works Street and Bridge (6200) estimated annual cost $5,000.00",Korrect Optical/Fred Cleveland safety eye glasses
20041,CLOTHING: MEDICAL,50602-kc,PROTECTIVE MEDICAL GEAR
68008,Police Protection Equipment (Body Armor and Riot S,"3 each, PROTECH Shield Carry Bag for 31 x 48, Item# TE284C, MFG#402, Large @ $79.17 each  APD SWAT  Order to be placed December 2018",Shields for SWAT & Airport Police
36022,"Installation Supplies: Adhesive Edge Strip, Seam T","60917   3/4""split loom tubing100'",Tessco $1117.04  see attached
34556100001,HELMET SAFETY CAP STYLE,RC LN_____ QTY DEL______ P/F_____ B/O_____ DEL DATE___________,material needed at wbsc
34556370002,"HAT, SAFETY, FULLBRIM VENTED",RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Grainger Keep Stock for Glen Bell warehouse
345,FIRST AID AND SAFETY EQUIPMENT AND SUPPLIES,"PR2021-10535    Contact: Mark Valadez 512.978.2465     Rosewood Neighborhood Park AED Units; community safety for Delores Duffie Recreation Center, Doris Miller Auditorium, and the Britton, Durst, Howard, and Spence Building.    Quote: 1358    3 ea US Pediatic Pak @ $174.07 = $522.21  1 ea AED Essentials Package - 350-STR-US-10-AHeartSine @ $1,080.42 = $2,160.84  1 ea  350-STR-VPHeartSine SAM 350P AED, @ $1,151.38 = $1,151.38    Total $3,834.43",Rosewood Neighborhood Park AED Units
34532114018,BANDAGE KNUCKLE 1-1/2 X 3 IN. FAS,RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________,Grainger material for AWGBSC
34564115002,PROTECTOR EAR MUFF TYPE NR RATING 29/28/28,RC LN____ QTY DEL____ P/F_____ B/O____ DEL DATE________,material needed at awgbsc
34592502010,SAFETY VEST STYLE YELLOW 2XLARGE CLASS 3,RC LN_____ QTY DEL_____ P/F____ B/O_____ DEL DATE__________,material needed at wbsc
3403420,"COATS, FIREFIGHTER, TURNOUT",40 each Austin Fire Dept. Spec. Bunker Gear Coat per vendor attachment   1007.24 each total= $40289.60,"Cadet 113 Bunker Gear Order, various sizes refer to attach."
47013145226,"BELTS, ELASTIC, PATIENT",item # 77067  stretcher board / strap 2pc 7 Imorn,back board straps
34564115002,PROTECTOR EAR MUFF TYPE NR RATING 29/28/28,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Weekly KeepStock for Webberville warehouse
2003158,PERSONAL PROTECTIVE EQUIPMENT ENSEMBLE,,Glove Testing & Purchasing
34034,"Fire Protection Clothing (Turnout Coats, Bunker Pa",HFR NO. USR-21XCP-SPL GEAR USAR PANTS 6OZ NOMEX RIP-STOP EWR PER CUSTOMER SPEC . SPEC ID: TXAUSE00033 (NAVY) OR TXASE00035 (YELLOW) ; QUOTE #71162 ....BUYBOARD CONTRACT#363-10,MORNING PRIDE TRI-CERTIFIED BUNKER GEAR
34548400001,GLOVES SAFETY INSULATED SZ MEDIUM,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE_________,material needed at wbsc
34572100002,RESPIRATOR DUST AND FUMES,RC LN___ QTY DEL___ P/F___ B/O___ DEL DATE________,material needed at awgbsc
34572100010,"Face Mask, Cloth","20,000 cloth masks,RR- 072197771446","Cloth Masks - 20,000 for the Expo"
34564300001,EAR PLUG DISPOSABLE,RC LN___ QTY DEL___ P/F____ B/O___ DEL DATE________,material needed at awgbsc
34072,"Rescue Equipment, Supplies and Accessories Includi","PR219 - FERNO MODEL 71 BASKET REPLACEMENT FOR BROKEN/ OUT OF SERVICE      1. FERNO MODEL 71 BASKET STRETCHER - QTY. 1 EACH, $1,000.00/EA    Multi year contract for swift water and technical rescue equipment.",PR219 - FERNO MODEL 71 BASKET REPLACEMENT FOR BROKEN/ OUT OF
2003158,PERSONAL PROTECTIVE EQUIPMENT ENSEMBLE,,TESTING & PURCHASE OF PPE FOR FISCAL 2017
47541481003,GLOVES DISPOSABLE NONSTERILE NITRILE LARGE,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,QIA material needed at Glen Bell warehouse
34564100009,"Headwear, Thermal, Type Facemask, Polyolefin",RC LN______QTY DEL_____P/F____B/O____DEL DATE_______,Materials needed at Glen Bell warehouse
3403420,"COATS, FIREFIGHTER, TURNOUT",Qty. 56 at $1007.24 Bunker Coat,"Bunker Coat and Pant, Misc Sizes"
34564300001,EAR PLUG DISPOSABLE,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE_________,material needed at gbsc
47550114002,Owen Mumford Unistix 2 Safety LANCETS  Owen Mumford # AT 07,D002   Unistik 2 Extra (21G) Safety Lancet   OWEN MUMFORD  Item Number  AT 0712,Unistik??A? 2 Extra (21G) Safety Lancet
34556102001,STRAP CHIN FOR SAFETY HELMETS,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE__________,material needed at awgbsc
34532114002,BANDAGE TRIANGULAR STERILE 40 IN. FAS,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE_________,material needed at gbsc
4758777,"TUBES, ENDOTRACHEAL",Size 4.5 x140mm,New ET tubes - emergency patint care
47587751030,Nasopharyngeal Airway  SHERWOOD # 247056  Size 32 fr.  Latex,A030 Nasopharyngeal Airway 32 French TYCO HEALTHCARE (COVIDIEN) 8888247056,MEDICAL SUPPLY ORDER
47599,"MEDICAL, DENTAL AND LAB SUPPLY PER PRICE AGREEMENT","Gloves, MidKnight, SM, Black, Nitrile, Powder Free  100/bx 10bx/cs  Quantity 50 boxes at $18.66 per box",Midknight and UltraSense Gloves for Forensics Chemistry
26082752002,"B002 Sterile Gauze Sponge,  4 inch x 4 inch. 12 ply , 2 per","B002   Sterile Gauze Sponge,  4 inch x 4 inch. 12 ply , 2 per Pack  DYNAREX  Item Number 3343",medical supplies
34556370002,"HAT, SAFETY, FULLBRIM VENTED",RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________    DELIVERY DATE SHALL BE NO LATER THAN  6/4/2019,MSC material for AWWBSC
801560,SERVICE AWARDS,"PR 233916 RETIREMENT ROCKER PATCHES FOR UNIFORMS    C-209564-01, PATCH 3.8"" AUSTIN FIRE DEPARTMENT RETIRED SHOULDER PATCH ROCKER TEXAS, QTY:  500 EA @ $1.47/EA    REF QUOTE# 11189 per Maile Burnett",PR 233916 RETIREMENT ROCKER PATCHES FOR UNIFORMS
34564,"Head, Ear, Eye and Face Protection",Safety Eyewear-AWU Hornsby Bend-John Pino #83785,Safety Eyewear-AWU Hornsby-John Pino #83785
47599,"MEDICAL, DENTAL AND LAB SUPPLY PER PRICE AGREEMENT","18 cases, Gloves, Nitrile, Exam, Powder Free, Medium,   Part No.: 14-050-M, $55.20 per case = $993.60    Deliver to Tonie Aleman at 812 Springdale Road, Austin, Texas 78702","Gloves, Nitrile Exam, Powder Free"
34572100002,RESPIRATOR DUST AND FUMES,RC LN____ QTY DEL___ P/F___ B/O_____ DEL DATE______,material needed at awgbsc
2007237,"HOODS, FIREFIGHTERS","Majestic-PAC III, Hood, 21"", Black, Notched, Carbon Knight","Majestic-PAC III, Hood, 21"", Black, Notched, Carbon Knight"
34556101003,COVERS QUILTED HARD HAT FOR SAFETY HELMET,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,Material needed at Glen Bell warehouse
72582,"Two-Way Radio Supplies, Parts, and Accessories",RLN6230A  EARPLUGS FOAM/ACOUSTIC TUBE BLACK,"Motorola $2,528.48  see attached"
36022,"Installation Supplies: Adhesive Edge Strip, Seam T",59533 pk/100 fuse,"Tessco $1,334.83  see attached"
2003158,PERSONAL PROTECTIVE EQUIPMENT ENSEMBLE,org 3504 Purchase of rubber gloves and rubber blankets,LCRA Invoice T4M-0009521 Testing and Purchase Rubber Goods
47013152040,B040     Adult Adjustable C Collar.  30 each per case.,"B040     C-Collar, Adult.  AMBU Item Number 281-000",medical supplies-emergency patient care for stock
34584501046,Neonate Ambu Spur #544-211-000,A046  SPUR II (Neonate) Oxygen Resuscitator with Infant mask  AMBU  Item Number  544-211-000,medical supplies-emergency patient care for stock replenishe
68008,Police Protection Equipment (Body Armor and Riot S,"2 each,PROTECH 3148S Tactical Body Bunker Ballistic Shield Level IIIA 31x48, Item #ZI832C, MFG#3148S, @ $2,088.96 each  APD SWAT  Order to be placed in December 2018",Shields for SWAT & Airport Police
47541107013,G013.2   X-Small  Nitrile Examination Glove,,Nitrile Glove. X-Small - emergency patient care
47599,"MEDICAL, DENTAL AND LAB SUPPLY PER PRICE AGREEMENT","Gloves, Supreno EC, Large, Nitrile,  Powder Free, Extended Cuff 50/bx, 10bx/cs  60 boxes at $14.04 per box",Microflex Supreno Gloves for APD PCO
4650219,"BAGS, OXYGEN MASK",PR356-Warehouse Restock of Medical Bags BuyBrd 530-17    1. ITEM# 57985 - Iron Duck Breathsaver Ryl BLUE    Ref Quote# 1115920 / Dated 10/23/18,PR356-Warehouse Restock of Medical Bags BuyBrd 530-17
2003158,PERSONAL PROTECTIVE EQUIPMENT ENSEMBLE,replaced of rubber gloves     6 each of size 9 class 0   14 each of size 10 class 0  supervisor Cobler,LCRA invoice T4M0016218
47599,"MEDICAL, DENTAL AND LAB SUPPLY PER PRICE AGREEMENT","Gloves, Supreno EC, X-Large, Nitrile,  Powder Free, Extended Cuff 50/bx, 10bx/cs  130 boxes at $12.70 per bx",Microflex Supreno Gloves for APD PCO
34072805222,"T006 RING CUTTER, ECONOMY. SHOR INTERNATIONAL 48.0243",,ring cutters- emergency patient care
34532114003,BANDAGE GAUZE 2 IN X 2 YDS FAS,RC LN____ QTY DEL____ P/F____ B/O____ DEL DATE___________,material needed at awgbsc
20027100002,GLOVES WORK RBR NEOPRENE COATED 31 IN LONG GAUNTLET,4T436  RC LN____ QTY DEL____ P/F____ B/O_____ DEL DATE_____,material needed at awbsc
2003158,PERSONAL PROTECTIVE EQUIPMENT ENSEMBLE,Purchase of replacements for rubber gloves      3 pr   class 2      Super J. Maness,LCRA invoice T4M0015979  fy22
46578211104,A102.1    WhisperPak? Procedure Pack #4-100083-00 to include,,procedure packs
68008,Police Protection Equipment (Body Armor and Riot S,"11 each CROSS FX CLASS B POLY/COTTON RIPSTOP CARGO PANTS CONVERTED INTO SHORTS F1 Fx57300/TJ260 SHORTS, $43.93 = $483.23",Shirts & Pants for wear test
34556330002,25F547 HARD HAT VISOR FR TREATED HIGH VIZ YELLOW,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE__________,material needed at wwbsc
17527514070,Masimo Reusable Sensor LNCS#DC1,D070   Adult SPO2 Reusable finger sensor   MASIMO Item Number 1863,medical supplies
68008,Police Protection Equipment (Body Armor and Riot S,QTY: 123 at $117.07 each Stinger DS LED Standard Charge - FL652C AD,FY22 Cadet Class Supplies for Police Equipment
34564,"Head, Ear, Eye and Face Protection","Public Works Street and Bridge (6200) estimated annual cost $5,000.00",Korrect Optical/Arnold Patrick/North District
34564100001,SHIELD FACE 8 X 12 IN CLEAR VISOR WITH HEAD GEAR,RC LN______ QTY DEL_____ P/F_____ B/O_____ DEL DATE_________,material needed at awwbsc
68008,Police Protection Equipment (Body Armor and Riot S,QTY: 60 at $8.72 each Accumold Elite Belt Keepers - NP354C PLN HS,FY22 Cadet Class Supplies for Police Equipment
34592,"Vest, Safety",(36) Blauer style #339 vest w/ HEALTH heat transferred on back size Large/XL - $53.90ea.  Add female velcro to both sides of vest to accomodate the removeable panels - $10ea.  (33) Removable interchangeable panels with various titles Heat Transferred on per list provided - $22 per set of two panels.,ICS Vests for HHSD
47541481004,22LD91 XL NITRILE GLOVE 50 PR/PER BOX  10 BOXES/PER CASE,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 11/30/2018,MSC QIA material for AWWBSC
34592502009,SAFETY VEST STYLE YELLOW XLARGE CLASS 3,RC LN_______QTY DEL_______P/F_____B/O_____DEL DATE__________,material needed at wbsc
34564,"Head, Ear, Eye and Face Protection",,Ace Cont/Concrete/safety items
46537610001,Laryngoscope Blade.  Metal. Disposab. Disposable. Single Use,MIL 2,laryng blades
36022,"Installation Supplies: Adhesive Edge Strip, Seam T","35738  3/8""split loom tubing100'","TESSCO  $3,473.03  SEE ATTACHED"
34564300001,EAR PLUG DISPOSABLE,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 7/26/2018,MSC material for AWWBSC
3455636,"HELMETS, SAFETY, FIREFIGHTER, INCLUDING ACCESSORIE",PR#51  QUOTE #932265  15 HELMETS WITH VARIOUS ATTACHMENTS  ATTN: REGGIE WILLIAMS  Buyboard Contract #432-13,HELMETS FOR CADET CLASSES
54523,"Impact Tools, Air Powered (Not Road Building)","10 HOODED DISPOSABLE COVERALLS 2XL, PK 25 @ $288.05 EA; 38 HEALTHCARE RESPIRATOR, N95, GREEN, PK 20 @ $16.37 EA; 250 SAFETY GLASSES, CLEAR, ANTIFOG @ $2.00 EA; 250 PAIRS OVERBOOT, MENS, XL @ $9.00 EA    Quotation # 2022589533",PROTECTIVE EQUIPMENT FOR POLICE PERSONNEL
47010,Ambulance Cots and Stretchers,,STRYKER STRETCHERS
34072,"Rescue Equipment, Supplies and Accessories Includi",Applicator wand sections w/tip (PR721),Applicator wand sections w/tip (PR721)
47599,"MEDICAL, DENTAL AND LAB SUPPLY PER PRICE AGREEMENT",30 ea,"QuikClot Combat Gauze LE, 3 in. x 4 yds"
